Strategy	WB	WA	Duration
kRoundRobin	17076779780	3.1808	123686647
kMinOverlappingRatio	17194641401	3.20275	120071192
kOldestLargestSeqFirst	18413096560	3.42971	130214292
kOldestSmallestSeqFirst	17271958727	3.21715	89779763
kSelectLastSimilar	17227745635	3.20892	83130011
kRoundRobin	17096289177	3.18443	164674225
kMinOverlappingRatio	17676795891	3.29256	155275369
kOldestLargestSeqFirst	18309965743	3.4105	104961824
kOldestSmallestSeqFirst	17673964225	3.29203	81084242
kSelectLastSimilar	17289934431	3.2205	80042813
