Strategy	WB	WA	Duration
kRoundRobin	20069654895	3.73826	95626310
kMinOverlappingRatio	19225521187	3.58103	94406926
kOldestLargestSeqFirst	20339089000	3.78845	101798477
kOldestSmallestSeqFirst	20393064860	3.7985	152810080
kSelectLastSimilar	19601859002	3.65113	137826355
kRoundRobin	19799289731	3.68791	201480243
kMinOverlappingRatio	19167390510	3.5702	192130789
kOldestLargestSeqFirst	19230889784	3.58203	170473984
kOldestSmallestSeqFirst	19751050467	3.67892	135378019
kSelectLastSimilar	19056435421	3.54954	136427635
