Strategy	WB	WA	Duration
kRoundRobin	19552045871	3.64185	74414394
kMinOverlappingRatio	20775291055	3.8697	80949004
kOldestLargestSeqFirst	22676420011	4.22381	92949749
kOldestSmallestSeqFirst	21510267016	4.0066	82478901
kSelectLastSimilar	20386780831	3.79733	63395274
kRoundRobin	22688873884	4.22613	54241181
kMinOverlappingRatio	20876337466	3.88852	49044320
kOldestLargestSeqFirst	23343541869	4.34807	54861715
kOldestSmallestSeqFirst	22609329901	4.21132	51428129
kSelectLastSimilar	21820093034	4.06431	48459624
