Strategy	WB	WA	Duration
kRoundRobin	21275456465	3.96286	81245661
kMinOverlappingRatio	22053793293	4.10784	83772374
kOldestLargestSeqFirst	23172586454	4.31623	97397778
kOldestSmallestSeqFirst	21927428046	4.0843	80933525
kSelectLastSimilar	21944353360	4.08745	61303003
kRoundRobin	22225037951	4.13974	52220460
kMinOverlappingRatio	22176299529	4.13066	52757779
kOldestLargestSeqFirst	24844827211	4.62771	57395867
kOldestSmallestSeqFirst	23007067543	4.2854	52212896
kSelectLastSimilar	22177391911	4.13086	48351221
