Strategy	WB	WA	Duration
kRoundRobin	17608464827	3.27983	122029250
kMinOverlappingRatio	16993693786	3.16532	116122357
kOldestLargestSeqFirst	18751698678	3.49278	135548873
kOldestSmallestSeqFirst	17913179973	3.33659	128110538
kSelectLastSimilar	17251014658	3.21325	113638911
kRoundRobin	17095404846	3.18427	152677765
kMinOverlappingRatio	17753935756	3.30693	165517089
kOldestLargestSeqFirst	18183502526	3.38694	131783836
kOldestSmallestSeqFirst	18047085272	3.36153	123874824
kSelectLastSimilar	17400123216	3.24103	171555300
