Strategy	WB	WA	Duration
kRoundRobin	20677553934	3.85149	47416715
kMinOverlappingRatio	19822822770	3.69229	46018289
kOldestLargestSeqFirst	21741753178	4.04972	52488953
kOldestSmallestSeqFirst	20051390613	3.73486	46842663
kSelectLastSimilar	20164077000	3.75585	46749749
kRoundRobin	21922337606	4.08335	46005548
kMinOverlappingRatio	20469638812	3.81277	40674975
kOldestLargestSeqFirst	21486229417	4.00212	44353128
kOldestSmallestSeqFirst	20538602414	3.82561	42519197
kSelectLastSimilar	20120655003	3.74776	40523991
