Strategy	WB	WA	Duration
kRoundRobin	19635607177	3.65742	46393743
kMinOverlappingRatio	18657456524	3.47522	44242999
kOldestLargestSeqFirst	20478940642	3.8145	49969142
kOldestSmallestSeqFirst	19699656389	3.66935	45704921
kSelectLastSimilar	19034935901	3.54553	43767052
kRoundRobin	19466109285	3.62585	43015928
kMinOverlappingRatio	19446061314	3.62211	43188295
kOldestLargestSeqFirst	20870055836	3.88735	46283469
kOldestSmallestSeqFirst	19374030979	3.60869	41490995
kSelectLastSimilar	18420756502	3.43113	38542091
