Strategy	WB	WA	Duration
kRoundRobin	18904532150	3.52124	139260278
kMinOverlappingRatio	19505215038	3.63313	140159525
kOldestLargestSeqFirst	20168284975	3.75664	144543730
kOldestSmallestSeqFirst	20236052843	3.76926	109946027
kSelectLastSimilar	18855148142	3.51205	89173257
kRoundRobin	18988413053	3.53687	151103555
kMinOverlappingRatio	19326220504	3.59979	136802741
kOldestLargestSeqFirst	20449040838	3.80893	179466741
kOldestSmallestSeqFirst	19478721990	3.62819	171454153
kSelectLastSimilar	18874457558	3.51564	132512011
