Strategy	WB	WA	Duration
kRoundRobin	21025421837	3.91629	49459910
kMinOverlappingRatio	20060014099	3.73647	49297067
kOldestLargestSeqFirst	21067603065	3.92415	50668700
kOldestSmallestSeqFirst	20753966510	3.86573	49788019
kSelectLastSimilar	19712331029	3.67171	46935728
kRoundRobin	20771765517	3.86904	44932168
kMinOverlappingRatio	21121725911	3.93423	45956833
kOldestLargestSeqFirst	21393353715	3.98482	48550641
kOldestSmallestSeqFirst	21770509403	4.05507	47992985
kSelectLastSimilar	19822739055	3.69227	42168853
