Strategy	WB	WA	Duration
kRoundRobin	18624277308	3.46904	50653467
kMinOverlappingRatio	18636782516	3.47137	49415902
kOldestLargestSeqFirst	19860433892	3.69929	51265040
kOldestSmallestSeqFirst	18857027084	3.5124	44777851
kSelectLastSimilar	18366741094	3.42107	43629500
kRoundRobin	19520974011	3.63606	43924187
kMinOverlappingRatio	19268067210	3.58896	41848585
kOldestLargestSeqFirst	20232596868	3.76861	43713965
kOldestSmallestSeqFirst	20006748038	3.72655	42011960
kSelectLastSimilar	19401491443	3.61381	41641733
