Strategy	WB	WA	Duration
kRoundRobin	18907859482	3.52186	48288398
kMinOverlappingRatio	18432548315	3.43333	45811327
kOldestLargestSeqFirst	19839772755	3.69545	49525582
kOldestSmallestSeqFirst	18912128548	3.52266	47482494
kSelectLastSimilar	18097159949	3.37086	43976087
kRoundRobin	19437524544	3.62052	41822841
kMinOverlappingRatio	19215015834	3.57908	42330172
kOldestLargestSeqFirst	20946286823	3.90155	47564733
kOldestSmallestSeqFirst	18825423680	3.50651	40145509
kSelectLastSimilar	18905647320	3.52145	42791431
