Strategy	WB	WA	Duration
kRoundRobin	19466084532	3.62584	46375260
kMinOverlappingRatio	18606539158	3.46574	46580582
kOldestLargestSeqFirst	19502721675	3.63266	51970395
kOldestSmallestSeqFirst	19432559517	3.6196	54276337
kSelectLastSimilar	18926038119	3.52525	53467642
kRoundRobin	19424755141	3.61814	40488130
kMinOverlappingRatio	19329617709	3.60042	44427648
kOldestLargestSeqFirst	18993560688	3.53783	43772349
kOldestSmallestSeqFirst	19730039073	3.67501	46656058
kSelectLastSimilar	19015570936	3.54193	43416767
