Strategy	WB	WA	Duration
kRoundRobin	18188834777	3.38793	202460679
kMinOverlappingRatio	17188528113	3.20161	120182399
kOldestLargestSeqFirst	18086106358	3.3688	130604871
kOldestSmallestSeqFirst	17764480998	3.30889	126512523
kSelectLastSimilar	17618273820	3.28166	126759514
kRoundRobin	16998119177	3.16615	164958070
kMinOverlappingRatio	17818823630	3.31901	177346976
kOldestLargestSeqFirst	18284334158	3.40572	191745647
kOldestSmallestSeqFirst	17992557417	3.35137	182650302
kSelectLastSimilar	17420305279	3.24478	169365699
