Strategy	WB	WA	Duration
kRoundRobin	19207423664	3.57766	201947714
kMinOverlappingRatio	18536233182	3.45264	130528710
kOldestLargestSeqFirst	20438376745	3.80694	144226446
kOldestSmallestSeqFirst	19535981072	3.63886	141972608
kSelectLastSimilar	19749668715	3.67866	111563465
kRoundRobin	19358897907	3.60588	195684881
kMinOverlappingRatio	18813933097	3.50437	176577035
kOldestLargestSeqFirst	20642435656	3.84495	203380828
kOldestSmallestSeqFirst	19561389888	3.64359	180210358
kSelectLastSimilar	19109944285	3.5595	158483477
