Strategy	WB	Duration
kRoundRobin	14744245069	49708420
kMinOverlappingRatio	14563988469	50459038
kOldestLargestSeqFirst	15225684952	50954029
kOldestSmallestSeqFirst	15246537150	43152818
kRoundRobin	14741784748	46713055
kMinOverlappingRatio	14425947190	44653249
kOldestLargestSeqFirst	16845251405	52453443
kOldestSmallestSeqFirst	14425569981	44483470
