Strategy	WB	WA	Duration
kRoundRobin	21170386861	3.94329	52191824
kMinOverlappingRatio	20470369671	3.8129	50377580
kOldestLargestSeqFirst	22112099435	4.1187	59866744
kOldestSmallestSeqFirst	20628379208	3.84234	53066765
kSelectLastSimilar	19394567940	3.61252	47295401
kRoundRobin	21108743690	3.93181	49092683
kMinOverlappingRatio	20585995559	3.83444	47414762
kOldestLargestSeqFirst	20866624769	3.88671	49249053
kOldestSmallestSeqFirst	21164139364	3.94213	47098564
kSelectLastSimilar	20526830498	3.82342	43624869
