Strategy	WB	WA	Duration
kRoundRobin	19138588481	3.56484	46420181
kMinOverlappingRatio	20374796848	3.7951	46983817
kOldestLargestSeqFirst	21495114418	4.00378	51870004
kOldestSmallestSeqFirst	20341640855	3.78893	49182726
kSelectLastSimilar	19737327183	3.67636	47603726
kRoundRobin	21100855697	3.93034	47059207
kMinOverlappingRatio	20581964080	3.83369	45495075
kOldestLargestSeqFirst	22385566026	4.16964	49639405
kOldestSmallestSeqFirst	22278579469	4.14971	50091132
kSelectLastSimilar	20329820400	3.78672	42025730
