Strategy	WB	WA	Duration
kRoundRobin	16903080448	3.14844	118603672
kMinOverlappingRatio	17294479505	3.22135	123426718
kOldestLargestSeqFirst	18413089569	3.42971	102109489
kOldestSmallestSeqFirst	17707775983	3.29833	86013474
kSelectLastSimilar	17646915175	3.28699	84689457
kRoundRobin	16947501413	3.15672	83374009
kMinOverlappingRatio	17865550003	3.32772	81081863
kOldestLargestSeqFirst	18266387786	3.40238	83644379
kOldestSmallestSeqFirst	17454848612	3.25122	107427501
kSelectLastSimilar	17449079031	3.25014	173848432
