Strategy	WB	WA	Duration
kRoundRobin	19452322911	3.62328	45538670
kMinOverlappingRatio	18959991410	3.53157	43190693
kOldestLargestSeqFirst	20509465599	3.82019	48250808
kOldestSmallestSeqFirst	19223932913	3.58074	45424728
kSelectLastSimilar	18706741198	3.4844	43966578
kRoundRobin	19118901163	3.56117	41198524
kMinOverlappingRatio	19066098202	3.55134	40345071
kOldestLargestSeqFirst	20440707901	3.80738	43385768
kOldestSmallestSeqFirst	19597214663	3.65027	46174206
kSelectLastSimilar	18774114613	3.49695	42740529
