Strategy	WB	WA	Duration
kRoundRobin	18423856192	3.43171	70888690
kMinOverlappingRatio	18306015728	3.40976	68907780
kOldestLargestSeqFirst	19442786806	3.6215	77112133
kOldestSmallestSeqFirst	17855323372	3.32581	68484628
kSelectLastSimilar	18092301738	3.36995	67377683
kRoundRobin	19495485525	3.63132	47276384
kMinOverlappingRatio	18715544412	3.48604	44125088
kOldestLargestSeqFirst	20016551673	3.72837	46634689
kOldestSmallestSeqFirst	19126947758	3.56267	43640944
kSelectLastSimilar	18361083848	3.42002	42076854
