Strategy	WB	Duration
kRoundRobin	14894161649	40389380
kMinOverlappingRatio	14193715892	41568974
kOldestLargestSeqFirst	15235202772	40567754
kOldestSmallestSeqFirst	15599986111	40881010
kRoundRobin	17167730811	55137959
kMinOverlappingRatio	14695999854	48058287
kOldestLargestSeqFirst	18328116689	56683081
kOldestSmallestSeqFirst	15778668308	48977346
