Strategy	WB	WA	Duration
kRoundRobin	16956503097	3.15839	78852532
kMinOverlappingRatio	17022656712	3.17072	114638080
kOldestLargestSeqFirst	18766899281	3.49561	131976715
kOldestSmallestSeqFirst	18183952142	3.38703	131825010
kSelectLastSimilar	17208668524	3.20536	116242577
kRoundRobin	17136057200	3.19184	119324139
kMinOverlappingRatio	17274650287	3.21765	137593057
kOldestLargestSeqFirst	18334164328	3.415	130836281
kOldestSmallestSeqFirst	17788065805	3.31329	146022194
kSelectLastSimilar	17750355929	3.30626	180745731
