Strategy	WB	Duration
kRoundRobin	12883766852	35515148
kMinOverlappingRatio	12829727761	35120166
kOldestLargestSeqFirst	14796270543	40387923
kOldestSmallestSeqFirst	15130404018	40933076
kRoundRobin	15040025960	47517294
kMinOverlappingRatio	14188873355	45851775
kOldestLargestSeqFirst	16247107980	50639341
kOldestSmallestSeqFirst	14745308846	45853228
