Strategy	WB	WA	Duration
kRoundRobin	18483133875	3.44275	42866030
kMinOverlappingRatio	18842070999	3.50961	44482407
kOldestLargestSeqFirst	18988590928	3.5369	46637657
kOldestSmallestSeqFirst	19003617650	3.5397	45353831
kSelectLastSimilar	18417270812	3.43048	45365039
kRoundRobin	19187948376	3.57403	40652189
kMinOverlappingRatio	19202215331	3.57669	40557912
kOldestLargestSeqFirst	19879674595	3.70288	44323262
kOldestSmallestSeqFirst	19766952589	3.68188	43913135
kSelectLastSimilar	19134826197	3.56414	42825652
