Strategy	WB	WA	Duration
kRoundRobin	17043397322	3.17458	116551278
kMinOverlappingRatio	18220985275	3.39392	139661923
kOldestLargestSeqFirst	18652230039	3.47425	133529933
kOldestSmallestSeqFirst	17999041532	3.35258	118964198
kSelectLastSimilar	17091767382	3.18359	81644857
kRoundRobin	17798211431	3.31518	183141234
kMinOverlappingRatio	17623586783	3.28265	174269807
kOldestLargestSeqFirst	18751766327	3.49279	152445429
kOldestSmallestSeqFirst	18239278355	3.39733	126082644
kSelectLastSimilar	17295506348	3.22154	79777636
