Strategy	WB	Duration
kRoundRobin	13393140709	40667744
kMinOverlappingRatio	13343777895	40021813
kOldestLargestSeqFirst	15750461365	46525838
kOldestSmallestSeqFirst	14778327555	43122749
kRoundRobin	13707952856	43023800
kMinOverlappingRatio	15001876598	46721648
kOldestLargestSeqFirst	16642704072	50761341
kOldestSmallestSeqFirst	16151578116	49679489
