Strategy	WB	WA	Duration
kRoundRobin	20046234422	3.7339	94202486
kMinOverlappingRatio	19089915207	3.55577	91582428
kOldestLargestSeqFirst	20687689610	3.85338	149733304
kOldestSmallestSeqFirst	19587768388	3.64851	138945864
kSelectLastSimilar	18775450628	3.4972	133392024
kRoundRobin	19374773971	3.60883	193103048
kMinOverlappingRatio	18825820706	3.50658	135883883
kOldestLargestSeqFirst	19726078065	3.67427	149456318
kOldestSmallestSeqFirst	20729208610	3.86112	211079135
kSelectLastSimilar	19002658321	3.53952	145189835
