Strategy	WB	WA	Duration
kRoundRobin	28246744141	5.26137	232525781
kMinOverlappingRatio	19136617975	3.56447	140292083
kOldestLargestSeqFirst	21667490586	4.03588	163279811
kOldestSmallestSeqFirst	20999189325	3.9114	475315787
kSelectLastSimilar	18918368681	3.52382	134977661
kRoundRobin	19470083072	3.62659	190472090
kMinOverlappingRatio	18761335036	3.49457	170619279
kOldestLargestSeqFirst	19778618711	3.68405	185525834
kOldestSmallestSeqFirst	19927049588	3.7117	187432166
kSelectLastSimilar	18890243206	3.51858	131274153
