Strategy	WB	WA	Duration
kRoundRobin	19129656185	3.56318	135113708
kMinOverlappingRatio	19105972629	3.55876	141362236
kOldestLargestSeqFirst	21775597653	4.05602	134914175
kOldestSmallestSeqFirst	20390852912	3.79809	93824420
kSelectLastSimilar	19419218090	3.61711	88990058
kRoundRobin	18987309604	3.53666	133717333
kMinOverlappingRatio	19704896433	3.67032	157947287
kOldestLargestSeqFirst	19933300259	3.71287	189911153
kOldestSmallestSeqFirst	19939168475	3.71396	145331601
kSelectLastSimilar	18415343553	3.43013	125055572
