Strategy	WB	WA	Duration
kRoundRobin	18893508878	3.51919	74385281
kMinOverlappingRatio	18871696343	3.51513	71387352
kOldestLargestSeqFirst	19354097365	3.60498	78704298
kOldestSmallestSeqFirst	18278472288	3.40463	72382681
kSelectLastSimilar	18438163442	3.43438	66071607
kRoundRobin	20069972537	3.73832	48102548
kMinOverlappingRatio	19330080967	3.60051	45473346
kOldestLargestSeqFirst	20524705528	3.82302	47481742
kOldestSmallestSeqFirst	20537004056	3.82532	48111873
kSelectLastSimilar	19373030189	3.60851	44346247
