Strategy	WB	WA	Duration
kRoundRobin	19215514165	3.57917	46779189
kMinOverlappingRatio	18262555845	3.40167	43247877
kOldestLargestSeqFirst	20014536380	3.728	48202690
kOldestSmallestSeqFirst	19491453667	3.63057	47928831
kSelectLastSimilar	18194375872	3.38897	40746402
kRoundRobin	18929414729	3.52588	39255654
kMinOverlappingRatio	18898292466	3.52008	39545262
kOldestLargestSeqFirst	20120517973	3.74774	42179394
kOldestSmallestSeqFirst	19284062956	3.59194	40118838
kSelectLastSimilar	18621405219	3.46851	38825831
