Strategy	WB	WA	Duration
kRoundRobin	16934924038	3.15438	121791455
kMinOverlappingRatio	17133357896	3.19134	98639022
kOldestLargestSeqFirst	18079229956	3.36752	89413292
kOldestSmallestSeqFirst	17752411830	3.30664	85578100
kSelectLastSimilar	17387026095	3.23859	83642871
kRoundRobin	16635650350	3.09863	74255980
kMinOverlappingRatio	17181037752	3.20022	86945291
kOldestLargestSeqFirst	18624296315	3.46905	187099980
kOldestSmallestSeqFirst	17807790412	3.31696	178873828
kSelectLastSimilar	17254077013	3.21382	163322494
