Strategy	WB	WA	Duration
kRoundRobin	21142004098	3.93801	84153265
kMinOverlappingRatio	19724065917	3.67389	74824824
kOldestLargestSeqFirst	20877946490	3.88882	86336446
kOldestSmallestSeqFirst	20383963617	3.79681	78034519
kSelectLastSimilar	20901105605	3.89313	64600815
kRoundRobin	21918459970	4.08263	53897990
kMinOverlappingRatio	20748271881	3.86467	47419239
kOldestLargestSeqFirst	21377664912	3.9819	49201638
kOldestSmallestSeqFirst	21561421397	4.01613	49540415
kSelectLastSimilar	20267504538	3.77512	46300674
