Strategy	WB	WA	Duration
kRoundRobin	18957998484	3.5312	44763293
kMinOverlappingRatio	18746522204	3.49181	42796381
kOldestLargestSeqFirst	20197581652	3.76209	48235876
kOldestSmallestSeqFirst	18133243478	3.37758	44918692
kSelectLastSimilar	17848144032	3.32448	43720643
kRoundRobin	19410338145	3.61546	41414774
kMinOverlappingRatio	18643640447	3.47265	38272891
kOldestLargestSeqFirst	19988996105	3.72324	42799456
kOldestSmallestSeqFirst	19041152247	3.54669	40083616
kSelectLastSimilar	18330729451	3.41436	40429668
