Strategy	WB	WA	Duration
kRoundRobin	19053294865	3.54895	43739204
kMinOverlappingRatio	20002850401	3.72582	47058051
kOldestLargestSeqFirst	22495625778	4.19014	54093259
kOldestSmallestSeqFirst	20462978810	3.81153	52875369
kSelectLastSimilar	19384842956	3.61071	48879412
kRoundRobin	21015163870	3.91438	48450684
kMinOverlappingRatio	19567075739	3.64465	45924210
kOldestLargestSeqFirst	23139879744	4.31014	52162131
kOldestSmallestSeqFirst	21540959179	4.01232	47747427
kSelectLastSimilar	20012507617	3.72762	42919811
