Strategy	WB	WA	Duration
kRoundRobin	16949603553	3.15711	116473795
kMinOverlappingRatio	17622588644	3.28246	122471712
kOldestLargestSeqFirst	18197424200	3.38953	126527329
kOldestSmallestSeqFirst	17576112260	3.27381	123799002
kSelectLastSimilar	17264456710	3.21576	116491668
kRoundRobin	17094183672	3.18404	165513515
kMinOverlappingRatio	17355891585	3.23279	159693155
kOldestLargestSeqFirst	18706714677	3.4844	158030618
kOldestSmallestSeqFirst	18089109022	3.36936	125103642
kSelectLastSimilar	17452667860	3.25081	120539411
