Strategy	WB	WA	Duration
kRoundRobin	19219816780	3.57997	47252415
kMinOverlappingRatio	20410449519	3.80174	48173430
kOldestLargestSeqFirst	21919316840	4.08279	53717455
kOldestSmallestSeqFirst	21377237744	3.98182	50436477
kSelectLastSimilar	19370952507	3.60812	44132122
kRoundRobin	21086433611	3.92765	45373135
kMinOverlappingRatio	20818035391	3.87766	43174823
kOldestLargestSeqFirst	22568029703	4.20362	47457872
kOldestSmallestSeqFirst	21427735809	3.99123	44411253
kSelectLastSimilar	20513587309	3.82095	44488800
