Strategy	WB	WA	Duration
kRoundRobin	19495874529	3.63139	39394474
kMinOverlappingRatio	20167080529	3.75641	40729123
kOldestLargestSeqFirst	20155036168	3.75417	41367659
kOldestSmallestSeqFirst	20052633083	3.73509	40747358
kRoundRobin	19422680600	3.61776	39494388
kMinOverlappingRatio	20468059570	3.81247	42402985
kOldestLargestSeqFirst	19681196806	3.66591	40600307
kOldestSmallestSeqFirst	20099640735	3.74385	41964492
kSelectLastSimilar	19750900496	3.67889	41265376
