Strategy	WB	WA	Duration
kRoundRobin	18705296306	3.48413	73506687
kMinOverlappingRatio	18942250392	3.52827	73993125
kOldestLargestSeqFirst	20011513903	3.72743	81948390
kOldestSmallestSeqFirst	19906047656	3.70779	79456092
kSelectLastSimilar	19187618045	3.57397	65001866
kRoundRobin	20251732253	3.77218	46608830
kMinOverlappingRatio	19898492952	3.70638	44882915
kOldestLargestSeqFirst	20534678676	3.82488	47843597
kOldestSmallestSeqFirst	21244330289	3.95706	48578017
kSelectLastSimilar	20593875338	3.83591	46057389
