Strategy	WB	WA	Duration
kRoundRobin	19896506527	3.70601	107112916
kMinOverlappingRatio	19513706963	3.63471	137218639
kOldestLargestSeqFirst	20804583261	3.87516	148748601
kOldestSmallestSeqFirst	19952736675	3.71649	145221217
kSelectLastSimilar	19284719471	3.59206	136019079
kRoundRobin	19279889549	3.59116	164622100
kMinOverlappingRatio	18496993290	3.44533	186662450
kOldestLargestSeqFirst	20419194543	3.80337	190931892
kOldestSmallestSeqFirst	19596183634	3.65007	137528585
kSelectLastSimilar	18859465974	3.51285	131953241
