Strategy	WB	WA	Duration
kRoundRobin	20278677818	3.7772	50379403
kMinOverlappingRatio	19691472898	3.66782	48460482
kOldestLargestSeqFirst	21186586656	3.94631	57944884
kOldestSmallestSeqFirst	21247592762	3.95767	57390807
kSelectLastSimilar	19512407837	3.63447	50715677
kRoundRobin	20532021693	3.82439	45453831
kMinOverlappingRatio	20610643843	3.83903	45808783
kOldestLargestSeqFirst	21210200584	3.95071	48420147
kOldestSmallestSeqFirst	21864741213	4.07263	47563658
kSelectLastSimilar	20480068630	3.81471	44220098
