Strategy	WB	WA	Duration
kRoundRobin	19115142244	3.56047	89008139
kMinOverlappingRatio	19532335085	3.63818	92525723
kOldestLargestSeqFirst	22052908255	4.10767	103022205
kOldestSmallestSeqFirst	19975628416	3.72075	92544013
kSelectLastSimilar	18584163260	3.46157	85990578
kRoundRobin	19963401877	3.71847	90534598
kMinOverlappingRatio	19533966319	3.63848	87770392
kOldestLargestSeqFirst	20444748150	3.80813	94005866
kOldestSmallestSeqFirst	19824021495	3.69251	89691809
kSelectLastSimilar	19415171276	3.61636	86179574
