Strategy	WB	WA	Duration
kRoundRobin	19087667033	3.55536	45203054
kMinOverlappingRatio	19663293294	3.66257	46411936
kOldestLargestSeqFirst	22125946302	4.12128	53030006
kOldestSmallestSeqFirst	21200752775	3.94895	50574634
kSelectLastSimilar	19804397239	3.68886	46670702
kRoundRobin	21031197297	3.91737	47000863
kMinOverlappingRatio	19741580475	3.67716	43262616
kOldestLargestSeqFirst	22823816695	4.25127	48943967
kOldestSmallestSeqFirst	21716106005	4.04494	45858684
kSelectLastSimilar	19678207598	3.66535	40208741
