Strategy	WB	WA	Duration
kRoundRobin	19191893457	3.57477	49098676
kMinOverlappingRatio	20010303829	3.72721	49429345
kOldestLargestSeqFirst	21581998507	4.01996	53507873
kOldestSmallestSeqFirst	20619434416	3.84067	51825200
kSelectLastSimilar	19528822756	3.63753	46044208
kRoundRobin	21283450835	3.96435	47812208
kMinOverlappingRatio	20987678432	3.90926	45873209
kOldestLargestSeqFirst	21927291784	4.08428	48706055
kOldestSmallestSeqFirst	21848527826	4.06961	48229687
kSelectLastSimilar	20139183555	3.75122	41804261
