Strategy	WB	WA	Duration
kRoundRobin	19575081703	3.64614	142825359
kMinOverlappingRatio	19240631171	3.58385	136894990
kOldestLargestSeqFirst	20974727837	3.90685	154095796
kOldestSmallestSeqFirst	20230622915	3.76825	142082762
kSelectLastSimilar	18394210041	3.42619	89192496
kRoundRobin	19540055808	3.63962	202484780
kMinOverlappingRatio	19023085379	3.54333	145202091
kOldestLargestSeqFirst	20137091690	3.75083	143677273
kOldestSmallestSeqFirst	19219649513	3.57994	166711922
kSelectLastSimilar	18471376662	3.44056	133938840
